ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	BAKWE-1-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	1	*I	1209	I	mo	mo	m o	false
2	BAKWE-30-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	30	*blood	946	BLOOD	toru	toru	t o r u	false
3	BAKWE-30-2	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	30	*blood	946	BLOOD	5otru	5otru	ɲ o t r u	false
4	BAKWE-31-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	31	*bone	1394	BONE	kou	kou	k o u	false
5	BAKWE-51-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	51	*breasts	1402	BREAST	5iti	5iti	ɲ i t i	false
6	BAKWE-66-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	66	*come	1446	COME	ji	ji	dʒ i	false
7	BAKWE-61-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	61	*die	1494	DIE	molo	molo	m o l o	false
8	BAKWE-21-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	21	*dog	2009	DOG	fE	fE	f a	false
9	BAKWE-54-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	54	*drink	1401	DRINK	na	na	n ɐ	false
10	BAKWE-54-2	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	54	*drink	1401	DRINK	nu	nu	n u	false
11	BAKWE-39-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	39	*ear	1247	EAR	5aklu	5aklu	ɲ ɐ k l u	false
12	BAKWE-40-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	40	*eye	1248	EYE	5io	5io	ɲ i o	false
13	BAKWE-40-2	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	40	*eye	1248	EYE	5ie	5ie	ɲ i e	false
14	BAKWE-82-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	82	*fire	221	FIRE	kapu	kapu	k ɐ p u	false
15	BAKWE-19-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	19	*fish	227	FISH	sre	sre	s r e	false
16	BAKWE-48-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	48	*hand	1277	HAND	klugb~a	klugb~a	k l u g b ɐ	false
17	BAKWE-58-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	58	*hear	1408	HEAR	jE	jE	dʒ a	false
18	BAKWE-58-2	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	58	*hear	1408	HEAR	nuwli	nuwli	n u w l i	false
19	BAKWE-34-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	34	*horn	1393	HORN (ANATOMY)	gue	gue	g u e	false
20	BAKWE-47-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	47	*knee	1371	KNEE	kotu	kotu	k o t u	false
21	BAKWE-25-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	25	*leaf	628	LEAF	napu	napu	n ɐ p u	false
22	BAKWE-53-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	53	*liver	1224	LIVER	plE	plE	p l a	false
23	BAKWE-22-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	22	*louse	1392	LOUSE	5aka	5aka	ɲ ɐ k ɐ	false
24	BAKWE-22-2	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	22	*louse	1392	LOUSE	gb~igb~li	gb~igb~li	g b i g b l i	false
25	BAKWE-86-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	86	*mountain	639	MOUNTAIN	dugb~a	dugb~a	d u g b ɐ	false
26	BAKWE-100-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	100	*name	1405	NAME	5ri	5ri	ɲ r i	false
27	BAKWE-96-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	96	*new	1231	NEW	jijarE	jijarE	dʒ i dʒ ɐ r a	false
28	BAKWE-92-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	92	*night	1233	NIGHT	gb~ia	gb~ia	g b i ɐ	false
29	BAKWE-41-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	41	*nose	1221	NOSE	mru	mru	m r u	false
30	BAKWE-11-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	11	*one	1493	ONE	do	do	d o	false
31	BAKWE-85-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	85	*path	2252	PATH	sa	sa	s ɐ	false
32	BAKWE-85-2	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	85	*path	2252	PATH	5ufo	5ufo	ɲ u f o	false
33	BAKWE-18-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	18	*person	683	PERSON	5o	5o	ɲ o	false
34	BAKWE-57-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	57	*see	1409	SEE	jE	jE	dʒ a	false
35	BAKWE-57-2	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	57	*see	1409	SEE	yEkE	yEkE	j a k a	false
36	BAKWE-28-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	28	*skin	763	SKIN	fu	fu	f u	false
37	BAKWE-74-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	74	*star	1430	STAR	sEr3	sEr3	s a r ə	false
38	BAKWE-77-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	77	*stone	857	STONE	tEkE	tEkE	t a k a	false
39	BAKWE-72-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	72	*sun	1343	SUN	jru	jru	dʒ r u	false
40	BAKWE-44-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	44	*tongue	1205	TONGUE	mE	mE	m a	false
41	BAKWE-43-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	43	*tooth	1380	TOOTH	glE	glE	g l a	false
42	BAKWE-23-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	23	*tree	906	TREE	tu	tu	t u	false
43	BAKWE-12-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	12	*two	1498	TWO	so	so	s o	false
44	BAKWE-75-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	75	*water	948	WATER	ni	ni	n i	false
45	BAKWE-3-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	3	*we	1212	WE	amo	amo	ɐ m o	false
46	BAKWE-2-1	BAKWE	BAKWE	bakw1243	Bakwé	Kru	Eastern Kru	Bakwe-Wane	False	2	*you	1215	THOU	amo	amo	ɐ m o	false
47	GODIE-1-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	1	*I	1209	I	am3	am3	ɐ m ə	false
48	BETE_DALOA-30-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	30	*blood	946	BLOOD	dl~u	dl~u	d l u	false
49	BETE_GUIBEROUA-30-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	30	*blood	946	BLOOD	duru	duru	d u r u	false
50	GODIE-30-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	30	*blood	946	BLOOD	dlu	dlu	d l u	false
51	BETE_DALOA-31-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	31	*bone	1394	BONE	kw~a	kw~a	kʷ ɐ	false
52	BETE_GUIBEROUA-31-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	31	*bone	1394	BONE	kwa	kwa	k w ɐ	false
53	GODIE-31-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	31	*bone	1394	BONE	fi	fi	f i	false
54	BETE_DALOA-51-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	51	*breasts	1402	BREAST	k3kli	k3kli	k ə k l i	false
55	BETE_GUIBEROUA-51-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	51	*breasts	1402	BREAST	k3k3li	k3k3li	k ə k ə l i	false
56	BETE_DALOA-66-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	66	*come	1446	COME	Ti	Ti	c i	false
57	BETE_GUIBEROUA-66-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	66	*come	1446	COME	yi	yi	j i	false
58	GODIE-66-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	66	*come	1446	COME	yi	yi	j i	false
59	BETE_DALOA-61-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	61	*die	1494	DIE	tili	tili	t i l i	false
60	BETE_GUIBEROUA-61-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	61	*die	1494	DIE	ku	ku	k u	false
61	GODIE-61-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	61	*die	1494	DIE	ku	ku	k u	false
62	BETE_DALOA-21-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	21	*dog	2009	DOG	gw~i	gw~i	gʷ i	false
63	GODIE-21-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	21	*dog	2009	DOG	g3yi	g3yi	g ə j i	false
64	BETE_DALOA-54-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	54	*drink	1401	DRINK	nima	nima	n i m ɐ	false
65	BETE_GUIBEROUA-54-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	54	*drink	1401	DRINK	nimo	nimo	n i m o	false
66	GODIE-54-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	54	*drink	1401	DRINK	m3lo	m3lo	m ə l o	false
67	BETE_DALOA-39-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	39	*ear	1247	EAR	yukuli	yukuli	j u k u l i	false
68	BETE_GUIBEROUA-39-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	39	*ear	1247	EAR	yukw3li	yukw3li	j u k w ə l i	false
69	GODIE-39-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	39	*ear	1247	EAR	5uklu	5uklu	ɲ u k l u	false
70	BETE_DALOA-40-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	40	*eye	1248	EYE	Ti	Ti	c i	false
71	BETE_GUIBEROUA-40-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	40	*eye	1248	EYE	yiri	yiri	j i r i	false
72	GODIE-40-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	40	*eye	1248	EYE	yli	yli	j l i	false
73	BETE_DALOA-82-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	82	*fire	221	FIRE	kosu	kosu	k o s u	false
74	BETE_GUIBEROUA-82-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	82	*fire	221	FIRE	kosu	kosu	k o s u	false
75	GODIE-82-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	82	*fire	221	FIRE	kosu	kosu	k o s u	false
76	BETE_DALOA-19-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	19	*fish	227	FISH	zibh~iyi	zibh~iyi	z i bʰ i j i	false
77	BETE_GUIBEROUA-19-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	19	*fish	227	FISH	zib3	zib3	z i b ə	false
78	GODIE-19-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	19	*fish	227	FISH	zle	zle	z l e	false
79	BETE_DALOA-48-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	48	*hand	1277	HAND	kota	kota	k o t ɐ	false
80	GODIE-48-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	48	*hand	1277	HAND	klogba	klogba	k l o g b ɐ	false
81	BETE_DALOA-58-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	58	*hear	1408	HEAR	p3niyukuli	p3niyukuli	p ə n i j u k u l i	false
82	BETE_GUIBEROUA-58-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	58	*hear	1408	HEAR	n3	n3	n ə	false
83	GODIE-58-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	58	*hear	1408	HEAR	nu	nu	n u	false
84	BETE_GUIBEROUA-34-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	34	*horn	1393	HORN (ANATOMY)	g3	g3	g ə	false
85	BETE_DALOA-47-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	47	*knee	1371	KNEE	kokoml~u	kokoml~u	k o k o m l u	false
86	BETE_GUIBEROUA-47-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	47	*knee	1371	KNEE	kokom3ni	kokom3ni	k o k o m ə n i	false
87	GODIE-47-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	47	*knee	1371	KNEE	k3k3gb3	k3k3gb3	k ə k ə g b ə	false
88	BETE_GUIBEROUA-25-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	25	*leaf	628	LEAF	kp3	kp3	k p ə	false
89	BETE_DALOA-53-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	53	*liver	1224	LIVER	polE	polE	p o l a	false
90	BETE_GUIBEROUA-53-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	53	*liver	1224	LIVER	diri	diri	d i r i	false
91	BETE_DALOA-22-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	22	*louse	1392	LOUSE	nEbh~3	nEbh~3	n a bʰ ə	false
92	BETE_GUIBEROUA-22-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	22	*louse	1392	LOUSE	nE	nE	n a	false
93	BETE_DALOA-86-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	86	*mountain	639	MOUNTAIN	kp~i	kp~i	kp i	false
94	BETE_DALOA-100-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	100	*name	1405	NAME	N3ni	N3ni	ŋ ə n i	false
95	BETE_GUIBEROUA-100-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	100	*name	1405	NAME	N3ni	N3ni	ŋ ə n i	false
96	GODIE-100-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	100	*name	1405	NAME	Nl3	Nl3	ŋ l ə	false
97	BETE_DALOA-96-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	96	*new	1231	NEW	lile	lile	l i l e	false
98	BETE_DALOA-92-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	92	*night	1233	NIGHT	d3d3	d3d3	d ə d ə	false
99	BETE_GUIBEROUA-92-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	92	*night	1233	NIGHT	sab3	sab3	s ɐ b ə	false
100	GODIE-92-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	92	*night	1233	NIGHT	kigbiso	kigbiso	k i g b i s o	false
101	BETE_DALOA-41-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	41	*nose	1221	NOSE	mlE	mlE	m l a	false
102	BETE_GUIBEROUA-41-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	41	*nose	1221	NOSE	m3n3	m3n3	m ə n ə	false
103	GODIE-41-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	41	*nose	1221	NOSE	ml3	ml3	m l ə	false
104	BETE_GUIBEROUA-11-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	11	*one	1493	ONE	b3l3	b3l3	b ə l ə	false
105	GODIE-11-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	11	*one	1493	ONE	bolo	bolo	b o l o	false
106	GODIE-85-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	85	*path	2252	PATH	blo	blo	b l o	false
107	BETE_DALOA-18-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	18	*person	683	PERSON	nikp~E	nikp~E	n i kp a	false
108	BETE_DALOA-57-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	57	*see	1409	SEE	yili	yili	j i l i	false
109	BETE_GUIBEROUA-57-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	57	*see	1409	SEE	yi yiri m3	yi yiri m3	j i j i r i m ə	false
110	GODIE-57-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	57	*see	1409	SEE	ni	ni	n i	false
111	BETE_DALOA-28-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	28	*skin	763	SKIN	ku	ku	k u	false
112	BETE_GUIBEROUA-28-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	28	*skin	763	SKIN	ku	ku	k u	false
113	GODIE-28-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	28	*skin	763	SKIN	kp3kpa	kp3kpa	k p ə k p ɐ	false
114	BETE_DALOA-74-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	74	*star	1430	STAR	zEliyi	zEliyi	z a l i j i	false
115	BETE_GUIBEROUA-74-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	74	*star	1430	STAR	zEli	zEli	z a l i	false
116	GODIE-77-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	77	*stone	857	STONE	Toku	Toku	c o k u	false
117	BETE_DALOA-72-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	72	*sun	1343	SUN	y3l3	y3l3	j ə l ə	false
118	BETE_GUIBEROUA-72-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	72	*sun	1343	SUN	y3r3	y3r3	j ə r ə	false
119	GODIE-72-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	72	*sun	1343	SUN	ylu	ylu	j l u	false
120	BETE_DALOA-44-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	44	*tongue	1205	TONGUE	mio	mio	m i o	false
121	BETE_GUIBEROUA-44-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	44	*tongue	1205	TONGUE	mio	mio	m i o	false
122	GODIE-44-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	44	*tongue	1205	TONGUE	mio	mio	m i o	false
123	BETE_DALOA-43-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	43	*tooth	1380	TOOTH	gl~eyi	gl~eyi	g l e j i	false
124	BETE_GUIBEROUA-43-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	43	*tooth	1380	TOOTH	gola	gola	g o l ɐ	false
125	GODIE-43-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	43	*tooth	1380	TOOTH	g3le	g3le	g ə l e	false
126	BETE_DALOA-23-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	23	*tree	906	TREE	su	su	s u	false
127	BETE_GUIBEROUA-23-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	23	*tree	906	TREE	su	su	s u	false
128	GODIE-23-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	23	*tree	906	TREE	su	su	s u	false
129	BETE_DALOA-12-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	12	*two	1498	TWO	so	so	s o	false
130	BETE_GUIBEROUA-12-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	12	*two	1498	TWO	so	so	s o	false
131	GODIE-12-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	12	*two	1498	TWO	so	so	s o	false
132	BETE_DALOA-75-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	75	*water	948	WATER	5u	5u	ɲ u	false
133	BETE_GUIBEROUA-75-1	BETE_GUIBEROUA	BETE_GUIBEROUA	guib1246	Guiberoua Béte	Kru	Eastern Kru	Beteic	False	75	*water	948	WATER	5u	5u	ɲ u	false
134	GODIE-75-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	75	*water	948	WATER	5u	5u	ɲ u	false
135	BETE_DALOA-3-1	BETE_DALOA	BETE_DALOA	dalo1238	Daloa Bété	Kru	Eastern Kru	Beteic	False	3	*we	1212	WE	a	a	ɐ	false
136	GODIE-3-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	3	*we	1212	WE	a5i	a5i	ɐ ɲ i	false
137	GODIE-2-1	GODIE	GODIE	godi1239	Godié	Kru	Eastern Kru	Beteic	False	2	*you	1215	THOU	mo	mo	m o	false
138	DIDA_LAKOTA-30-1	DIDA_LAKOTA	DIDA_LAKOTA	lako1244	Lakota Dida	Kru	Eastern Kru	Neyo-Dida	False	30	*blood	946	BLOOD	dulu	dulu	d u l u	false
139	DIDA_YOCOBOUE-30-1	DIDA_YOCOBOUE	DIDA_YOCOBOUE	yoco1235	Yocoboué Dida	Kru	Eastern Kru	Neyo-Dida	False	30	*blood	946	BLOOD	dolu	dolu	d o l u	false
140	NEYO-30-1	NEYO	NEYO	neyo1238	Neyo	Kru	Eastern Kru	Neyo-Dida	False	30	*blood	946	BLOOD	dolu	dolu	d o l u	false
141	DIDA_LAKOTA-31-1	DIDA_LAKOTA	DIDA_LAKOTA	lako1244	Lakota Dida	Kru	Eastern Kru	Neyo-Dida	False	31	*bone	1394	BONE	fa	fa	f ɐ	false
142	DIDA_YOCOBOUE-31-1	DIDA_YOCOBOUE	DIDA_YOCOBOUE	yoco1235	Yocoboué Dida	Kru	Eastern Kru	Neyo-Dida	False	31	*bone	1394	BONE	kwiye	kwiye	k w i j e	false
143	NEYO-31-1	NEYO	NEYO	neyo1238	Neyo	Kru	Eastern Kru	Neyo-Dida	False	31	*bone	1394	BONE	fee	fee	f e e	false
144	DIDA_LAKOTA-51-1	DIDA_LAKOTA	DIDA_LAKOTA	lako1244	Lakota Dida	Kru	Eastern Kru	Neyo-Dida	False	51	*breasts	1402	BREAST	ciclegbole	ciclegbole	ts i ts l e g b o l e	false
145	DIDA_YOCOBOUE-51-1	DIDA_YOCOBOUE	DIDA_YOCOBOUE	yoco1235	Yocoboué Dida	Kru	Eastern Kru	Neyo-Dida	False	51	*breasts	1402	BREAST	dine	dine	d i n e	false
146	NEYO-51-1	NEYO	NEYO	neyo1238	Neyo	Kru	Eastern Kru	Neyo-Dida	False	51	*breasts	1402	BREAST	digble	digble	d i g b l e	false
147	DIDA_LAKOTA-66-1	DIDA_LAKOTA	DIDA_LAKOTA	lako1244	Lakota Dida	Kru	Eastern Kru	Neyo-Dida	False	66	*come	1446	COME	ii	ii	i i	false
148	DIDA_YOCOBOUE-66-1	DIDA_YOCOBOUE	DIDA_YOCOBOUE	yoco1235	Yocoboué Dida	Kru	Eastern Kru	Neyo-Dida	False	66	*come	1446	COME	ci	ci	ts i	false
