ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	DEFAKA-30-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	30	*blood	946	BLOOD	asi	asi	ɐ s i	false
2	DEFAKA-31-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	31	*bone	1394	BONE	mb~ua	mb~ua	ⁿb u ɐ	false
3	DEFAKA-51-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	51	*breasts	1402	BREAST	onu*o*	onu*o*	o n ũ õ	false
4	DEFAKA-66-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	66	*come	1446	COME	so	so	s o	false
5	DEFAKA-61-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	61	*die	1494	DIE	eze	eze	e z e	false
6	DEFAKA-21-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	21	*dog	2009	DOG	ebere	ebere	e b e r e	false
7	DEFAKA-54-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	54	*drink	1401	DRINK	mb~u	mb~u	ⁿb u	false
8	DEFAKA-39-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	39	*ear	1247	EAR	basi	basi	b ɐ s i	false
9	DEFAKA-40-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	40	*eye	1248	EYE	oyo	oyo	o j o	false
10	DEFAKA-82-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	82	*fire	221	FIRE	ayom	ayom	ɐ j o m	false
11	DEFAKA-19-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	19	*fish	227	FISH	tina*	tina*	t i n ɐ̃	false
12	DEFAKA-95-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	95	*full	1429	FULL	baya	baya	b ɐ j ɐ	false
13	DEFAKA-48-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	48	*hand	1277	HAND	ka	ka	k ɐ	false
14	DEFAKA-58-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	58	*hear	1408	HEAR	na*a	na*a	n ɐ̃ ɐ	false
15	DEFAKA-34-1	DEFAKA	DEFAKA	defa1248	Defaka	Ijoid			False	34	*horn	1393	HORN (ANATOMY)	ifali	ifali	i f ɐ l i	false
