ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	NGALAKAN-1-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	1	*I	1209	I	Nayka7	Nayka7	ŋ ɐ j k ɐ ʔ	false
2	NGANDI-1-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	1	*I	1209	I	Naya	Naya	ŋ ɐ j ɐ	false
3	RAINBARNGO-1-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	1	*I	1209	I	Ninda	Ninda	ŋ i n d ɐ	false
4	NGALAKAN-30-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	30	*blood	946	BLOOD	guraT	guraT	g u r ɐ c	false
5	NGANDI-30-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	30	*blood	946	BLOOD	mobongo	mobongo	m o b o n g o	false
6	RAINBARNGO-30-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	30	*blood	946	BLOOD	gulbana	gulbana	g u l b ɐ n ɐ	false
7	NGALAKAN-31-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	31	*bone	1394	BONE	maraka	maraka	m ɐ r ɐ k ɐ	false
8	NGANDI-31-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	31	*bone	1394	BONE	naraka	naraka	n ɐ r ɐ k ɐ	false
9	RAINBARNGO-31-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	31	*bone	1394	BONE	balmana	balmana	b ɐ l m ɐ n ɐ	false
10	NGALAKAN-51-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	51	*breasts	1402	BREAST	TeNe	TeNe	c e ŋ e	false
11	NGANDI-51-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	51	*breasts	1402	BREAST	gubere	gubere	g u b e r e	false
12	NGALAKAN-66-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	66	*come	1446	COME	wuL	wuL	w u ʎ	false
13	NGANDI-66-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	66	*come	1446	COME	wa	wa	w ɐ	false
14	RAINBARNGO-66-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	66	*come	1446	COME	bo	bo	b o	false
15	NGALAKAN-61-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	61	*die	1494	DIE	5ar	5ar	ɲ ɐ r	false
16	NGANDI-61-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	61	*die	1494	DIE	wati	wati	w ɐ t i	false
17	RAINBARNGO-61-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	61	*die	1494	DIE	5ar7	5ar7	ɲ ɐ r ʔ	false
18	NGALAKAN-21-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	21	*dog	2009	DOG	gaTa7	gaTa7	g ɐ c ɐ ʔ	false
19	NGANDI-21-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	21	*dog	2009	DOG	watu	watu	w ɐ t u	false
20	RAINBARNGO-21-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	21	*dog	2009	DOG	Tamu	Tamu	c ɐ m u	false
21	NGALAKAN-54-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	54	*drink	1401	DRINK	weNu	weNu	w e ŋ u	false
22	NGANDI-54-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	54	*drink	1401	DRINK	Nu	Nu	ŋ u	false
23	RAINBARNGO-54-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	54	*drink	1401	DRINK	rom	rom	r o m	false
24	NGALAKAN-39-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	39	*ear	1247	EAR	ganam	ganam	g ɐ n ɐ m	false
25	NGANDI-39-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	39	*ear	1247	EAR	maganam	maganam	m ɐ g ɐ n ɐ m	false
26	RAINBARNGO-39-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	39	*ear	1247	EAR	ganam	ganam	g ɐ n ɐ m	false
27	NGALAKAN-40-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	40	*eye	1248	EYE	Na5TuLa	Na5TuLa	ŋ ɐ ɲ c u ʎ ɐ	false
28	NGANDI-40-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	40	*eye	1248	EYE	gugo7	gugo7	g u g o ʔ	false
29	RAINBARNGO-40-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	40	*eye	1248	EYE	gainTulya	gainTulya	g ɐ i n c u l j ɐ	false
30	NGALAKAN-82-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	82	*fire	221	FIRE	Noy	Noy	ŋ o j	false
31	NGANDI-82-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	82	*fire	221	FIRE	gudaNiC	gudaNiC	g u d ɐ ŋ i tʃ	false
32	RAINBARNGO-82-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	82	*fire	221	FIRE	Nura	Nura	ŋ u r ɐ	false
33	NGALAKAN-19-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	19	*fish	227	FISH	Te5	Te5	c e ɲ	false
34	RAINBARNGO-19-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	19	*fish	227	FISH	Ta5	Ta5	c ɐ ɲ	false
35	NGALAKAN-95-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	95	*full	1429	FULL	TalawarTa	TalawarTa	c ɐ l ɐ w ɐ r c ɐ	false
36	NGANDI-95-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	95	*full	1429	FULL	Nem7du	Nem7du	ŋ e m ʔ d u	false
37	RAINBARNGO-95-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	95	*full	1429	FULL	gadalwiman	gadalwiman	g ɐ d ɐ l w i m ɐ n	false
38	NGALAKAN-48-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	48	*hand	1277	HAND	marTi	marTi	m ɐ r c i	false
39	NGANDI-48-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	48	*hand	1277	HAND	gumar	gumar	g u m ɐ r	false
40	RAINBARNGO-48-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	48	*hand	1277	HAND	la Nina	la Nina	l ɐ ŋ i n ɐ	false
41	NGALAKAN-58-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	58	*hear	1408	HEAR	banar	banar	b ɐ n ɐ r	false
42	NGANDI-58-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	58	*hear	1408	HEAR	Na	Na	ŋ ɐ	false
43	RAINBARNGO-58-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	58	*hear	1408	HEAR	Nawa	Nawa	ŋ ɐ w ɐ	false
44	NGALAKAN-34-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	34	*horn	1393	HORN (ANATOMY)	gundaroro	gundaroro	g u n d ɐ r o r o	false
45	NGALAKAN-47-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	47	*knee	1371	KNEE	bun	bun	b u n	false
46	NGANDI-47-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	47	*knee	1371	KNEE	gumo	gumo	g u m o	false
47	RAINBARNGO-47-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	47	*knee	1371	KNEE	mabol7na	mabol7na	m ɐ b o l ʔ n ɐ	false
48	NGANDI-25-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	25	*leaf	628	LEAF	gumanjar7	gumanjar7	g u m ɐ n dʒ ɐ r ʔ	false
49	RAINBARNGO-25-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	25	*leaf	628	LEAF	bal7na	bal7na	b ɐ l ʔ n ɐ	false
50	NGALAKAN-53-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	53	*liver	1224	LIVER	Tiwi	Tiwi	c i w i	false
51	NGANDI-53-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	53	*liver	1224	LIVER	gudiw	gudiw	g u d i w	false
52	RAINBARNGO-53-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	53	*liver	1224	LIVER	malogna	malogna	m ɐ l o g n ɐ	false
53	NGALAKAN-22-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	22	*louse	1392	LOUSE	miT	miT	m i c	false
