ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	RAWA_BIRU-1-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	1	*I	1209	I	Nko	Nko	ŋ k o	false
2	RAWA_BIRU-30-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	30	*blood	946	BLOOD	ndEli	ndEli	n d a l i	false
3	RAWA_BIRU-31-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	31	*bone	1394	BONE	bEr	bEr	b a r	false
4	RAWA_BIRU-51-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	51	*breasts	1402	BREAST	y3mpa	y3mpa	j ə m p ɐ	false
5	RAWA_BIRU-21-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	21	*dog	2009	DOG	nduwol	nduwol	n d u w o l	false
6	RAWA_BIRU-39-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	39	*ear	1247	EAR	nd3la	nd3la	n d ə l ɐ	false
7	RAWA_BIRU-40-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	40	*eye	1248	EYE	siyur	siyur	s i j u r	false
8	RAWA_BIRU-82-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	82	*fire	221	FIRE	mey	mey	m e j	false
9	RAWA_BIRU-19-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	19	*fish	227	FISH	kotip	kotip	k o t i p	false
10	RAWA_BIRU-95-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	95	*full	1429	FULL	toba	toba	t o b ɐ	false
11	RAWA_BIRU-48-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	48	*hand	1277	HAND	ta	ta	t ɐ	false
12	RAWA_BIRU-25-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	25	*leaf	628	LEAF	tElu	tElu	t a l u	false
13	RAWA_BIRU-22-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	22	*louse	1392	LOUSE	nEmpin	nEmpin	n a m p i n	false
14	RAWA_BIRU-100-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	100	*name	1405	NAME	yu	yu	j u	false
15	RAWA_BIRU-96-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	96	*new	1231	NEW	kEynu	kEynu	k a j n u	false
16	RAWA_BIRU-92-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	92	*night	1233	NIGHT	mpEliNki	mpEliNki	m p a l i ŋ k i	false
17	RAWA_BIRU-41-1	RAWA_BIRU	RAWA_BIRU	smar1235	Smärky Kanum	Yam	Kanum		False	41	*nose	1221	NOSE	temimpar	temimpar	t e m i m p ɐ r	false
